(Word: stop, Part-of-speech: VB, Negated?: False)- 1
(Word: blushing, Part-of-speech: NN, Negated?: False)- 1
(Word: needling, Part-of-speech: VBG, Negated?: True)- 1
(Word: really, Part-of-speech: RB, Negated?: False)- 1
(Word: know, Part-of-speech: VB, Negated?: True)- 1
(Word: dream, Part-of-speech: RB, Negated?: False)- 1
(Word: hour, Part-of-speech: NN, Negated?: False)- 1
(Word: ago, Part-of-speech: IN, Negated?: False)- 1
(Word: lay, Part-of-speech: VBD, Negated?: False)- 1
(Word: cat-nap, Part-of-speech: JJ, Negated?: False)- 1
(Word: dream, Part-of-speech: NN, Negated?: False)- 1
(Word: montag, Part-of-speech: NN, Negated?: False)- 2
(Word: got, Part-of-speech: VBD, Negated?: False)- 1
(Word: furious, Part-of-speech: JJ, Negated?: False)- 1
(Word: debate, Part-of-speech: NN, Negated?: False)- 1
(Word: books, Part-of-speech: NNS, Negated?: False)- 1
(Word: towered, Part-of-speech: VBD, Negated?: False)- 1
(Word: rage, Part-of-speech: NN, Negated?: False)- 1
(Word: yelled, Part-of-speech: VBN, Negated?: False)- 2
(Word: quotes, Part-of-speech: NNS, Negated?: False)- 1
(Word: calmly, Part-of-speech: RB, Negated?: False)- 1
(Word: parried, Part-of-speech: VBD, Negated?: False)- 1
(Word: every, Part-of-speech: DT, Negated?: False)- 1
(Word: thrust, Part-of-speech: NN, Negated?: False)- 1
(Word: power, Part-of-speech: NN, Negated?: False)- 2
(Word: said, Part-of-speech: VBD, Negated?: False)- 7
(Word: quoting, Part-of-speech: VBG, Negated?: False)- 2
(Word: dr, Part-of-speech: NN, Negated?: False)- 1
(Word: johnson, Part-of-speech: NN, Negated?: False)- 2
(Word: knowledge, Part-of-speech: NN, Negated?: False)- 2
(Word: equivalent, Part-of-speech: JJ, Negated?: False)- 1
(Word: force, Part-of-speech: NN, Negated?: False)- 1
(Word: well, Part-of-speech: RB, Negated?: False)- 1
(Word: dr, Part-of-speech: JJ, Negated?: False)- 1
(Word: also, Part-of-speech: RB, Negated?: False)- 1
(Word: dear, Part-of-speech: JJ, Negated?: False)- 1
(Word: boy, Part-of-speech: NN, Negated?: False)- 1
(Word: wise, Part-of-speech: NN, Negated?: True)- 1
(Word: man, Part-of-speech: NN, Negated?: False)- 1
(Word: quit, Part-of-speech: VBD, Negated?: False)- 1
