(Word: stop, Part-of-speech: VB, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: needling, Part-of-speech: VBG, Negated?: True)- (Positive Score: 0.125, Negative Score: 0.0, Objective Score: 0.875)
(Word: really, Part-of-speech: RB, Negated?: False)- (Positive Score: 0.625, Negative Score: 0.0, Objective Score: 0.375)
(Word: know, Part-of-speech: VB, Negated?: True)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: hour, Part-of-speech: NN, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: lay, Part-of-speech: VBD, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: dream, Part-of-speech: NN, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: got, Part-of-speech: VBD, Negated?: False)- (Positive Score: 0.125, Negative Score: 0.0, Objective Score: 0.875)
(Word: furious, Part-of-speech: JJ, Negated?: False)- (Positive Score: 0.25, Negative Score: 0.25, Objective Score: 0.5)
(Word: debate, Part-of-speech: NN, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: books, Part-of-speech: NNS, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: towered, Part-of-speech: VBD, Negated?: False)- (Positive Score: 0.125, Negative Score: 0.0, Objective Score: 0.875)
(Word: rage, Part-of-speech: NN, Negated?: False)- (Positive Score: 0.25, Negative Score: 0.5, Objective Score: 0.25)
(Word: yelled, Part-of-speech: VBN, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 2.0)
(Word: quotes, Part-of-speech: NNS, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: calmly, Part-of-speech: RB, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: parried, Part-of-speech: VBD, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: thrust, Part-of-speech: NN, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.125, Objective Score: 0.875)
(Word: power, Part-of-speech: NN, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 2.0)
(Word: said, Part-of-speech: VBD, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 7.0)
(Word: quoting, Part-of-speech: VBG, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 2.0)
(Word: johnson, Part-of-speech: NN, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 2.0)
(Word: knowledge, Part-of-speech: NN, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 2.0)
(Word: equivalent, Part-of-speech: JJ, Negated?: False)- (Positive Score: 0.125, Negative Score: 0.0, Objective Score: 0.875)
(Word: force, Part-of-speech: NN, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: well, Part-of-speech: RB, Negated?: False)- (Positive Score: 0.375, Negative Score: 0.0, Objective Score: 0.625)
(Word: also, Part-of-speech: RB, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: dear, Part-of-speech: JJ, Negated?: False)- (Positive Score: 0.5, Negative Score: 0.0, Objective Score: 0.5)
(Word: boy, Part-of-speech: NN, Negated?: False)- (Positive Score: 0.25, Negative Score: 0.0, Objective Score: 0.75)
(Word: wise, Part-of-speech: NN, Negated?: True)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: man, Part-of-speech: NN, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: quit, Part-of-speech: VBD, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: uncertainty, Part-of-speech: NN, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: stick, Part-of-speech: NN, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: fireman, Part-of-speech: NN, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: dreary, Part-of-speech: JJ, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.375, Objective Score: 0.625)
(Word: chaos, Part-of-speech: NN, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.25, Objective Score: 0.75)
(Word: whispered, Part-of-speech: VBD, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.5, Objective Score: 1.5)
(Word: faber, Part-of-speech: JJ, Negated?: False)- (Positive Score: 0.875, Negative Score: 0.125, Objective Score: 0.0)
(Word: hes, Part-of-speech: NNS, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 2.0)
(Word: trying, Part-of-speech: VBG, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: watch, Part-of-speech: NN, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: chuckled, Part-of-speech: VBD, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
(Word: truth, Part-of-speech: NN, Negated?: False)- (Positive Score: 1.25, Negative Score: 0.0, Objective Score: 0.75)
(Word: come, Part-of-speech: VB, Negated?: False)- (Positive Score: 0.0, Negative Score: 0.0, Objective Score: 1.0)
